x,y
-2.3457861762229233e-06,-4.534617373831418e-22
-2.445127619881928e-06,-4.541752684590731e-22
-2.5398264195934813e-06,-4.467008434282637e-22
-2.6290265756588062e-06,-4.479286473471097e-22
-2.7119774083769668e-06,-4.405458660214863e-22
-2.7880315297189003e-06,-4.316485386020226e-22
-2.8566422540357626e-06,-4.162114619149188e-22
-2.9173605104931616e-06,-4.0719068743987803e-22
-2.96983131811674e-06,-4.038105238684153e-22
-3.0137898729404712e-06,-4.0489505668482357e-22
-3.049057288608323e-06,-4.074261989090142e-22
-3.075536034098192e-06,-4.000615474072349e-22
-3.093205120060659e-06,-3.9723497848855006e-22
-3.1021150885456256e-06,-3.879879655797546e-22
-3.102382855566042e-06,-3.6546118572261184e-22
-3.0941864471269783e-06,-3.298743213022357e-22
-3.0777596647172376e-06,-3.022965758112661e-22
-3.0533867177822403e-06,-2.863206588646837e-22
-3.021396863679991e-06,-2.6345058634921333e-22
-2.982159094414271e-06,-2.314452801123903e-22
-2.9360769035180186e-06,-2.0564761503520145e-22
-2.883583160102882e-06,-1.8250673757150918e-22
-2.8251351142568064e-06,-1.5253801958789093e-22
-2.76120955836019e-06,-1.2733014442999792e-22
-2.6922981689509492e-06,-8.710821120667876e-23
-2.6189030508605925e-06,-5.771639354864728e-23
-2.5415325002928852e-06,-3.012901967030617e-23
-2.4606969993917424e-06,-9.854438717732991e-25
-2.376905452691129e-06,2.804602841916849e-23
-2.2906616753237783e-06,4.077224903636196e-23
-2.2024611422751395e-06,5.712272762338457e-23
-2.1127880047879096e-06,7.44485429315614e-23
-2.0221123763276058e-06,9.400720818750459e-23
1.4780312694266792e-06,-5.322201064830258e-18
0.00020160362033453056,-5.836970940482967e-14
0.0011077148902780484,-1.68695776416151e-12
0.00308471826701099,-1.0836153796433227e-11
0.006250440997998869,-3.6550205929251916e-11
0.010625452478667249,-8.809687608668213e-11
0.016195021921780836,-1.7377657459768185e-10
0.022931913454304946,-3.0069001114891454e-10
0.03080477011233643,-4.747683402474045e-10
0.03978119432890013,-7.008393366879798e-10
0.04982887643210104,-9.826847916389283e-10
0.06091600455638431,-1.3230890287194362e-09
0.07301140987477693,-1.7238841942648482e-09
0.08608461419618077,-2.1859960987217434e-09
0.10010584146037736,-2.709492307248077e-09
0.1150460158902461,-3.2936329410845204e-09
0.13087675527049356,-3.936924042879259e-09
0.14757036247882035,-4.63717310856452e-09
0.16509981637359278,-5.391546303053504e-09
0.18343876242926768,-6.19662685867159e-09
0.20256150331985215,-7.0484741547816865e-09
0.2224429895987505,-7.942682992819581e-09
0.2430588105418503,-8.874442604747009e-09
0.26438518511553344,-9.8385949784613e-09
0.2863989529853655,-1.0829692123400388e-08
0.3090775655252484,-1.1842051936752718e-08
0.3323990768566747,-1.2869812355180992e-08
0.3563421349588848,-1.3906983503384239e-08
0.38088597283265935,-1.494749758906734e-08
0.40601039964134333,-1.5985256336294754e-08
0.43169579175694733,-1.7014175787440628e-08
0.4579230836971218,-1.802822833093081e-08
0.48467375898460535,-1.9021481835273996e-08
0.5119298409495419,-1.998813579531063e-08
0.5396738834486913,-2.0922554428440413e-08
0.5678889614510801,-2.1819296690762754e-08
0.5965586614638605,-2.267314320883809e-08
0.6256670718169393,-2.3479120141022866e-08
0.6551987728449632,-2.4232519880902355e-08
0.6851388270097045,-2.4928919461447564e-08
0.7154727688810504,-2.5564232511795092e-08
0.7461865949903844,-2.6134770680064504e-08
0.7772667536288146,-2.6637268032194304e-08
0.8087001345672717,-2.70688885000272e-08
0.8404740586895186,-2.7427226000577416e-08
0.8725762675434242,-2.771030069911146e-08
0.9049949130044334,-2.7916552727062358e-08
0.9377185469668997,-2.804483385169009e-08
0.970736111035965,-2.8094397376584265e-08
1.004036926249408,-2.8064886472128016e-08
1.037610682854036,-2.7956321097411507e-08
1.0714474301481587,-2.7769083665279743e-08
1.1055375663949478,-2.7503903598907233e-08
1.1398718288160052,-2.7161840928060897e-08
1.1744412836828124,-2.6744269066435558e-08
1.209237316525787,-2.6252856907951068e-08
1.2442516224744415,-2.5689550377502612e-08
1.279476196734391,-2.5056553567126586e-08
1.3149033252047382,-2.435630958547076e-08
1.350525575242886,-2.359148124319416e-08
1.3863357865874897,-2.2764931688410226e-08
1.4223270624494209,-2.187970510054609e-08
1.4584927607760516,-2.0939007544351046e-08
1.4948264856903506,-1.9946188081450595e-08
1.5313220791061597,-1.8904720227984853e-08
1.567973612523388,-1.781818383950019e-08
1.604775379008243,-1.669024749906358e-08
1.6417218853623117,-1.5524651472833607e-08
1.6788078444815893,-1.4325191296151316e-08
1.7160281679050422,-1.3095702041830093e-08
1.7533779585521663,-1.1840043400891303e-08
1.7908525036268763,-1.0562085065631676e-08
1.828447267754328,-9.265659159563209e-09
1.8661578863341737,-7.954500300464856e-09
1.90398015903627,-6.632219104369919e-09
1.9419100434953689,-5.302290024787296e-09
1.979943649201517,-3.968044621676183e-09
2.0180772315833524,-2.632667202670722e-09
2.0563071862831137,-1.2991917172700053e-09
2.094630043621908,2.950050582707753e-11
2.133042463253201,1.3506823295192895e-09
2.1715412290023464,2.6617817473737462e-09
2.2101232438903287,3.960382220523636e-09
2.2487855253400175,5.244222430988913e-09
2.287525200562911,6.511195471562921e-09
2.326339502125133,7.759347492372275e-09
2.365225763694103,8.986875830704873e-09
2.4041814159500436,1.0192126650284209e-08
2.443203982659785,1.1373592113563926e-08
2.482291076915248,1.2529907114657254e-08
2.5214403975340245,1.3659845719137627e-08
2.5606497256427163,1.4762316666894473e-08
2.599916921367742,1.583632397885355e-08
2.63923992065824,1.688091605449966e-08
2.6785885770710873,1.7895234560174586e-08
2.7173343399106114,1.8880442367158018e-08
2.755002376055786,1.9838326637431763e-08
2.791521425571699,2.0769715100707928e-08
2.8268918925607744,2.167544655004275e-08
2.861139307912309,2.255636363442852e-08
2.894297357099675,2.3413271041083725e-08
2.9264017162207296,2.424693043270466e-08
2.957487856844136,2.5058064911291744e-08
2.987590286220744,2.5847363574589266e-08
3.0167422983760748,2.661548494608662e-08
3.0449759160290206,2.7363059778346057e-08
3.072321915225147,2.8090693505205854e-08
3.098809884924009,2.8798968282899318e-08
3.124468290863182,2.9488444618621154e-08
3.149324528908553,3.015966278166857e-08
3.1734049698105204,3.081314416633683e-08
3.196735004145649,3.144939256961566e-08
3.2193390912348057,3.2068895240345146e-08
3.2412408081248167,3.2672123680338636e-08
3.262462893168604,3.3259534344167054e-08
3.283027283226575,3.383156937644395e-08
3.302955147704642,3.438865737065521e-08
3.322266922371666,3.493121401792438e-08
3.34098234287167,3.545964257471814e-08
3.3591204760968827,3.597433422120626e-08
3.3766997485022388,3.647566843754367e-08
3.393737972111178,3.696401343916295e-08
3.4102523692966864,3.7439726606537e-08
3.4262595965162883,3.790315482668828e-08
3.441780587824251,3.8354526004972635e-08
3.457038729500051,3.879137149749405e-08
3.472561423174007,3.921176286731744e-08
3.488713144359968,3.9610978317115917e-08
3.505616795670435,3.997852878116775e-08
3.523301542085101,4.030196969245217e-08
3.541762522848357,4.056929474666557e-08
3.5609828074538448,4.076966234883424e-08
3.5809414588165405,4.08935373987386e-08
3.601616485463327,4.093268660017985e-08
3.6229859135538143,4.0880147883885746e-08
3.6450281674488365,4.073019758428642e-08
3.667722196202372,4.047831635248162e-08
3.691047507024403,4.012115171662869e-08
3.7149841651263893,3.9656476002313195e-08
3.7395127818519827,3.908313927533013e-08
3.7646144990862416,3.840101753242568e-08
3.790270972856349,3.7610956624143444e-08
3.816464357283219,3.671471251746313e-08
3.8431772894150082,3.5714888555745506e-08
3.8703928751162096,3.461487037849906e-08
3.898094675932898,3.341875913225687e-08
3.926266696790095,3.2131303562350844e-08
3.954893374489844,3.0757831545362433e-08
3.98395956708871,2.9304181604976207e-08
4.013450544185942,2.7776634926275702e-08
4.043351977993588,2.6181848334960185e-08
4.073649934969508,2.4526788653854673e-08
4.10433086787099,2.2818668804420044e-08
4.135381608233651,2.1064885993306117e-08
4.16678935932861,1.9272962298812095e-08
4.19854168955572,1.745048793469854e-08
4.230626526111866,1.560506741878142e-08
4.263032148768544,1.3744268825863562e-08
4.295747183702472,1.1875576268964895e-08
4.328760597423592,1.0006345733826853e-08
4.362061690835726,8.143764368295846e-09
4.395640093375446,6.294813292470399e-09
4.429485757116754,4.46623395318132e-09
4.463588950767262,2.6644980201071376e-09
4.497940253569814,8.957807961918914e-10
4.532530549168389,-8.340618951554029e-10
4.56735101946276,-2.519513402337747e-09
4.602393138415228,-4.155412599115276e-09
4.637648665756632,-5.7369670047825405e-09
4.673109640581703,-7.259762791495703e-09
4.708768374867998,-8.719771808603651e-09
4.744617446869496,-1.0113355783894142e-08
4.780649694511387,-1.1437267919512871e-08
4.816858208930557,-1.268865196844406e-08
4.853236327990974,-1.3865038879777338e-08
4.8897776297641276,-1.496434118102364e-08
4.9264759260121584,-1.598484527471592e-08
4.9633252557040555,-1.692520182660193e-08
5.000319878570408,-1.7784414427482092e-08
5.03745426868763,-1.8561826710648545e-08
5.074723108090943,-1.9257108110151632e-08
5.112121280433336,-1.9870238436312447e-08
5.149643864714648,-2.0401491441991185e-08
5.187286129094948,-2.085141754488166e-08
5.2250435247918325,-2.1220825869359802e-08
5.262911680056872,-2.15107657665081e-08
5.300886394233983,-2.172250796423301e-08
5.3389636319113,-2.1857525489194545e-08
5.377139517178564,-2.1917474495111314e-08
5.415410327994469,-2.1904175121733e-08
5.4537724906614535,-2.181959250453009e-08
5.492222574405446,-2.1665818045515486e-08
5.530757286063396,-2.1445051047329075e-08
5.569373464885266,-2.1159580801949775e-08
5.608068077455906,-2.081176921720821e-08
5.646838212737506,-2.0404034056141403e-08
5.685671813925051,-2.0168678291256137e-08
5.724043028294253,-2.1258385896385353e-08
5.761377287035233,-2.259370774595509e-08
5.797582839492272,-2.8422613458874393e-08
5.832653189954123,-4.365034607879926e-08
