x,y
-2.2511174320966694e-06,-4.4578396210035235e-22
-2.353882349101575e-06,-4.5378928820073195e-22
-2.4528863892514497e-06,-4.540096001463954e-22
-2.5471753923016086e-06,-4.462890456865667e-22
-2.6359018446468307e-06,-4.478529192058755e-22
-2.718323412361775e-06,-4.394990492150046e-22
-2.793800865908406e-06,-4.306914615186693e-22
-2.8617954486027095e-06,-4.1481948055538135e-22
-2.921865751937962e-06,-4.066774034311635e-22
-2.973664157939718e-06,-4.0400802126732066e-22
-3.016932897106163e-06,-4.0500656823117235e-22
-3.0514997630772304e-06,-4.07287942207692e-22
-3.077273528256588e-06,-3.993851476021211e-22
-3.094239112425289e-06,-3.9704494519830244e-22
-3.1024525589924223e-06,-3.866822362095616e-22
-3.1020358676453323e-06,-3.6293987174416924e-22
-3.093171723423559e-06,-3.2739225328125612e-22
-3.07609815814033e-06,-3.0084855433798338e-22
-3.051103181942491e-06,-2.8483945676599567e-22
-3.0185194256191383e-06,-2.6128214931104417e-22
-2.978718832613846e-06,-2.292923918049835e-22
-2.93210743355289e-06,-2.0376047989945616e-22
-2.8791202299209464e-06,-1.80225811393623e-22
-2.8202162110143735e-06,-1.5042317919484325e-22
-2.755873528811876e-06,-1.2460206861769535e-22
-2.6865848552820506e-06,-8.420821131181563e-23
-2.61285294349072e-06,-5.561642753079883e-23
-2.5351864087737406e-06,-2.7867913480763063e-23
-2.454095742294559e-06,1.039959691682046e-24
-2.370089567263375e-06,2.960502196003322e-23
-2.2836711477181623e-06,4.200730079643423e-23
-2.195335158976258e-06,5.874080043107026e-23
-2.1055647255606067e-06,7.553871137761084e-23
1.2058716819140407e-05,-1.7553385262057062e-16
0.00030928471175951266,-1.4062038382986915e-13
0.0014113070204212759,-2.648821741561408e-12
0.003621179669315712,-1.4352041366412047e-11
0.007028774717806033,-4.4517851160165365e-11
0.0116444727443664,-1.0226962530039401e-10
0.017449890906443426,-1.9567166926891906e-10
0.02441654588190007,-3.315854616833795e-10
0.03251271721259623,-5.157160229223585e-10
0.04170596813078663,-7.526774350322898e-10
0.051964068047773024,-1.0460480446055657e-09
0.06325532660607085,-1.3984179147983314e-09
0.07554871094766596,-1.8114340013831389e-09
0.08881388297896751,-2.285846359371027e-09
0.10302120704225541,-2.821556765554099e-09
0.1181417466630195,-3.417670055426088e-09
0.1341472573231081,-4.072547957182854e-09
0.1510101778099091,-4.783864999361513e-09
0.16870362103297393,-5.5486660029855976e-09
0.18720136463515064,-6.363424655125997e-09
0.2064778415852562,-7.22410266448577e-09
0.22650813088876418,-8.126209017853745e-09
0.24726794846184105,-9.064858883094379e-09
0.268733638114054,-1.0034831749128948e-08
0.2908821625579086,-1.1030628437846288e-08
0.3136910944200174,-1.2046526649778705e-08
0.33713860729230277,-1.3076634736880478e-08
0.36120346685662275,-1.4114943416937065e-08
0.38586502205106926,-1.515537519009322e-08
0.4111031961963223,-1.619183125745258e-08
0.4368984780188706,-1.721823577733969e-08
0.4632319125692738,-1.8228577322201617e-08
0.4900850920697261,-1.9216947420211383e-08
0.5174401467031535,-2.0177576094295663e-08
0.545279735309562,-2.110486434252337e-08
0.5735870359402756,-2.199341353583091e-08
0.6023457362527246,-2.2838051733347357e-08
0.6315400237713533,-2.3633856931811948e-08
0.6611545760530426,-2.4376177045537192e-08
0.6911745507941881,-2.5060649340019796e-08
0.7215855757786772,-2.568325753304565e-08
0.7523737387177925,-2.624038870428578e-08
0.7835255770312105,-2.6728854429025745e-08
0.815028067554762,-2.7145896824685204e-08
0.8468686161471141,-2.7489187895184083e-08
0.8790350472541738,-2.7756825268824533e-08
0.9115155935885797,-2.7947325480815132e-08
0.9442988858193063,-2.8059615255811597e-08
0.977373942267034,-2.8093021061953054e-08
1.0107301586352797,-2.8047257126793148e-08
1.0443572977994215,-2.792241207559791e-08
1.078245479662938,-2.7718934343534174e-08
1.1123851710857475,-2.743761651080666e-08
1.1467671758957083,-2.7079578706354585e-08
1.1813826250020851,-2.6646251220484813e-08
1.2162229666300044,-2.6139356466344826e-08
1.2512799566876893,-2.5560890421495586e-08
1.2865456492711953,-2.491310368266839e-08
1.3220123873105554,-2.4198482259683084e-08
1.3576727933653028,-2.3419728228364877e-08
1.3935197605803404,-2.2579740357138073e-08
1.4295464438113092,-2.1681594813068072e-08
1.465746250923779,-2.072852604918056e-08
1.5021128342674155,-1.972390796783427e-08
1.5386400823268656,-1.867123544710254e-08
1.5753221115535605,-1.7574106311160547e-08
1.6121532583834972,-1.6436203817943415e-08
1.6491280714443146,-1.526127972794783e-08
1.686241303952279,-1.4053138014075747e-08
1.7234879062987372,-1.2815619264100062e-08
1.7608630188264192,-1.1552585824570437e-08
1.7983619647805056,-1.0267908468318963e-08
1.8359802434609735,-8.965430772120894e-09
1.873713523627822,-7.648904614088268e-09
1.9115576370389793,-6.321957473657419e-09
1.9495085721814174,-4.988078417139734e-09
1.9875624681991222,-3.6506108320920178e-09
2.0257156090144117,-2.312748017402543e-09
2.0639644176409973,-9.775302014793584e-10
2.102305450687034,3.521575345345065e-10
2.140735393045979,1.6735866224661774e-09
2.179251052773118,2.9841857381771084e-09
2.2178493561459582,4.2815409328054446e-09
2.256527342906785,5.56339518751903e-09
2.295282161685226,6.827647410512416e-09
2.334111065600547,8.072350899784151e-09
2.3730114080429225,9.29571129709178e-09
2.41198063861683,1.0496084060328918e-08
2.451016299247947,1.1671971476337487e-08
2.4901160204542085,1.282201924421884e-08
2.529277517779652,1.3945012940423603e-08
2.5684985884116633,1.5039871195806882e-08
2.6077771078869234,1.6105599148204653e-08
2.647111026955347,1.7141242532774332e-08
2.686452678660401,1.8146018800526327e-08
2.725124459919244,1.9121782784428574e-08
2.762707626099561,2.007050925675175e-08
2.7991399240163077,2.0993077117397896e-08
2.834424897278037,2.1890344100419468e-08
2.868589146933064,2.2763149511331054e-08
2.9016666730557814,2.3612287194905185e-08
2.933693194572408,2.4438506070581584e-08
2.964704130477375,2.5242516308224683e-08
2.9947339029775843,2.6024994373906016e-08
3.023815711236309,2.6786586618152264e-08
3.0519814825269065,2.752791213919662e-08
3.0792619011176754,2.8249565231409823e-08
3.1056864691828205,2.8952117384827434e-08
3.1312835701506345,2.9636118875426576e-08
3.156080521132946,3.030210016144975e-08
3.180103617386154,3.0950573240204776e-08
3.203378177557732,3.1582032905531684e-08
3.225928592841437,3.219695776249274e-08
3.2477783757106082,3.2795810998202226e-08
3.2689502029618778,3.337904106693752e-08
3.2894659525267396,3.394708242398118e-08
3.3093467374248395,3.450035627266559e-08
3.328612939609281,3.503927118924869e-08
3.3472842433880907,3.5564223566184365e-08
3.3653796665710383,3.6075597958031856e-08
3.3829175885633536,3.6573767452573193e-08
3.3999157762472607,3.7059094102598134e-08
3.4163914086928266,3.753192934249076e-08
3.432361100796222,3.799261431443601e-08
