0,0
3,0
6,0
9,0
12,0
13.5,1.5
12,3
9,3
6,3
3,3
0,3
-1.5,4.5
0,6
3,6
6,6
9,6
12,6
13.5,7.5
12,9
9,9
6,9
3,9
0,9
-1.5,10.5
0,12
3,12
6,12
9,12
12,12
